date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:09	2344/2344	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:01:09%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1291	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1291.json	(from http://encompass.red-gate.com/event/cambridge-queer-valentines/)
15:01:09	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:01:09%20GMT	http://encompass.red-gate.com/?p=1291	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/index3c2a.html	(from http://encompass.red-gate.com/event/cambridge-queer-valentines/)
15:01:09	734/734	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:01:09%20GMT	http://encompass.red-gate.com/event/cambridge-queer-valentines/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/cambridge-queer-valentines/indexedf3.html	(from http://encompass.red-gate.com/event/cambridge-queer-valentines/)
15:01:09	2467/2467	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:01:09%20GMT	http://encompass.red-gate.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fencompass.red-gate.com%2Fevent%2Ffeeling-progress-emotion-activism-lgbti-rights%2F	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/oembed/1.0/embed13f1.json	(from http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/)
15:01:09	958/958	---M-Z	200	added ('OK')	application/rss+xml	etag:%222c03383edf286217144c65e5818829b2-gzip%22	http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/feed/index.html	(from http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/)
15:01:09	3719/3719	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:01:09%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1388	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1388.json	(from http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/)
15:01:09	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:01:09%20GMT	http://encompass.red-gate.com/?p=1388	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/indexe129.html	(from http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/)
15:01:10	2485/2485	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:01:10%20GMT	http://encompass.red-gate.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fencompass.red-gate.com%2Fevent%2Fbridging-binaries-pilot-lgbtq-tours-zoology-museum-3%2F	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/oembed/1.0/embed5b98.json	(from http://encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/)
15:01:10	2126/2126	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:01:10%20GMT	http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/indexedf3.html	(from http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/)
15:01:10	3243/3243	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:01:10%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1329	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1329.json	(from http://encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/)
15:01:10	972/972	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a38da86aefefbc33071e385d40a073a-gzip%22	http://encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/feed/index.html	(from http://encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/)
15:01:10	2436/2436	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:01:10%20GMT	http://encompass.red-gate.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fencompass.red-gate.com%2Fevent%2Ftrash-waste-excess-queer-cultures-part%2F	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/oembed/1.0/embedc98e.json	(from http://encompass.red-gate.com/event/trash-waste-excess-queer-cultures-part/)
15:01:11	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:01:11%20GMT	http://encompass.red-gate.com/?p=1329	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/indexd944.html	(from http://encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/)
15:01:11	2954/2954	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:01:11%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1292	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1292.json	(from http://encompass.red-gate.com/event/trash-waste-excess-queer-cultures-part/)
